name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Good Luck, Babe!",Chappell Roan,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712
NOID,"Tyler, the Creator",0.38,0.77,1,-5.993,1,0.242,0.473,0.000151,0.243,0.47,82.157
BIRDS OF A FEATHER,Billie Eilish,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978
Rah Tah Tah,"Tyler, the Creator",0.661,0.878,1,-4.099,1,0.31,0.00289,0,0.381,0.514,82.557
tAsTe,Sabrina Carpenter,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964
espresso,Sabrina Carpenter,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969
Die With A Smile,Lady Gaga,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969
guess featuring billie eilish,Charli XCX,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019
Hey Jane,"Tyler, the Creator",0.495,0.784,10,-7.027,0,0.42,0.555,0,0.621,0.669,94.563
See You Again (feat. Kali Uchis),"Tyler, the Creator",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
ST. CHROMA,"Tyler, the Creator",0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45
I Killed You,"Tyler, the Creator",0.749,0.896,2,-4.909,1,0.219,0.356,0.00075,0.267,0.447,97.121
HOT TO GO!,Chappell Roan,0.742,0.757,6,-4.981,1,0.0421,0.0187,0,0.305,0.957,139.982
Judge Judy,"Tyler, the Creator",0.622,0.661,1,-5.906,1,0.0826,0.297,0.000135,0.165,0.362,76.331
360,Charli XCX,0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042
Please Please Please,Sabrina Carpenter,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071
APT.,Rosé,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027
Bed Chem,Sabrina Carpenter,0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99
"DARLING, I","Tyler, the Creator",0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571
TOMORROW,"Tyler, the Creator",0.463,0.541,1,-6.594,1,0.0385,0.811,6.61e-05,0.125,0.307,95.827
Pink + White,Frank Ocean,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94
Sympathy is a knife featuring ariana grande,Charli XCX,0.711,0.603,3,-7.815,1,0.0405,0.0962,0,0.112,0.339,135.151
Timeless (with Playboi Carti),The Weeknd,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973
Apple,Charli XCX,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035
I Hope You Find Your Way Home,"Tyler, the Creator",0.621,0.596,4,-4.35,1,0.0607,0.294,5.53e-05,0.134,0.207,112.188
Sticky,"Tyler, the Creator",0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09
My Love Mine All Mine,Mitski,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95
Earfquake,"Tyler, the Creator",0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635
Red Wine Supernova,Chappell Roan,0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041
BEST INTEREST,"Tyler, the Creator",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265
Take Your Mask Off,"Tyler, the Creator",0.503,0.658,6,-5.823,0,0.154,0.46,0,0.382,0.515,121.784
Lovers Rock,TV Girl,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97
Wildflower,Billie Eilish,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101
Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
NEW MAGIC WAND,"Tyler, the Creator",0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566
365,Charli XCX,0.761,0.856,1,-5.121,1,0.109,0.154,0.503,0.16,0.729,127.111
THOUGHT I WAS DEAD,"Tyler, the Creator",0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77
Lunch,Billie Eilish,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987
Kill Bill,SZA,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98
Juno,Sabrina Carpenter,0.633,0.725,5,-4.257,1,0.0427,0.0461,0,0.205,0.64,130.504
ST. CHROMA (feat. Daniel Caesar),"Tyler, the Creator",0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45
Diet Pepsi,Addison Rae,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069
Casual,Chappell Roan,0.508,0.411,1,-6.95,1,0.0269,0.226,0,0.0571,0.34,131.008
"Girl, so confusing featuring lorde",Charli XCX,0.692,0.823,11,-7.209,0,0.0547,0.17,0.00802,0.134,0.458,124.964
Von Dutch,Charli XCX,0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013
Like Him,"Tyler, the Creator",0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063
Pink Pony Club,Chappell Roan,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719
TALK TALK FEATURING TROYE SIVAN,Charli XCX,0.731,0.817,8,-5.595,1,0.0791,0.0196,6.13e-06,0.349,0.661,130.032
Good Graces,Sabrina Carpenter,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-06,0.144,0.732,126.012
CHIHIRO,Billie Eilish,0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015
